Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"MAGXR 6, 879 237-1",Zoë,Sunshine On A Rainy Day (Remixes),"M&G (2), Polydor","12"", Single",,1990,136501,Uncategorized,2017-02-28 19:15:44,,,
"MAGX 6, 877 953-1",Zoë,Sunshine On A Rainy Day,"M&G (2), Polydor, WAU! Mr. Modo Recordings","12"", Single",,1990,770454,Uncategorized,2017-02-28 19:14:29,,,
MAG 181,Bad Manners,Lorraine,Magnet (2),"7"", Single",,1980,1102864,Uncategorized,2019-12-30 21:15:57,,,
MAG 187,Bad Manners,Just A Feeling,Magnet (2),"7"", Single, Sol",,1981,1126624,Uncategorized,2019-12-30 21:18:46,,,
MAGL 5033,Bad Manners,Ska 'N' B,Magnet (2),"LP, Album",,1980,990233,Uncategorized,2017-02-02 07:56:46,,,
MAGL 5038,Bad Manners,Loonee Tunes!,Magnet (2),"LP, Album",,1980,753487,Uncategorized,2017-02-02 07:45:41,,,
6052-200,David Bowie & The Hype,The Prettiest Star EP,Major Tom,"7"", Single, Unofficial, Blu",,1982,3968478,David Bowie,2019-01-15 08:15:03,,,
"FESX 46, 566 291-1",David Morales Presents The Face (3),Needin' U,"Manifesto, Manifesto","12""",,1998,26071,Uncategorized,2019-09-23 16:26:38,,,
RUTLAND 1,R Earth,R-Earth,Manna Records (3),"12""",,1990,1101749,Uncategorized,2017-02-15 20:41:04,,,
600 536,David Bowie Music By Giorgio Moroder,Cat People (Putting Out Fire) (Long Version) (From The Original Soundtrack),MCA Records,"12"", Single",,1982,8347739,David Bowie,2017-02-28 18:45:37,,,
DGRIM 7,The Damned,Alone Again Or,MCA Records,"CD, Single",,1987,1362939,Uncategorized,2019-12-30 23:18:07,,,
MCA 12-54069,Those Guys,Tonite,MCA Records,"12""",,1991,1607575,Uncategorized,2017-02-28 19:40:35,,,
MCA 770,David Bowie Music By Giorgio Moroder,Cat People (Putting Out Fire) (From The Original Soundtrack),MCA Records,"7"", Single",,1982,9104151,David Bowie,2019-01-15 08:09:01,,,
MCAX 1400,Adamski,Killeremix,MCA Records,"12""",,1990,159124,Uncategorized,2019-09-09 21:55:00,,,
MCS 1551,Guy,Do Me Right,MCA Records,"7"", Single",,1991,10099696,Uncategorized,2019-12-31 15:00:52,,,
MU 1028,Leapy Lee,Little Arrows,MCA Records,"7"", Single",,1968,2455310,Uncategorized,2019-12-31 19:30:32,,,
WMCST 1522,Pebbles with Salt 'N' Pepa,Backyard,MCA Records,"12"", Promo",,0,1353284,Uncategorized,2019-09-23 16:45:33,,,
WMCST 1537,Sheena Easton,What Comes Naturally,MCA Records,"12"", Promo",,1991,2141342,Uncategorized,2019-09-16 21:56:40,,,
WMCST 1583,If?,Open Up Your Head,MCA Records,"12"", Promo",,1991,1740450,Uncategorized,2019-09-22 21:43:27,,,
104 102,David Bowie / Giorgio Moroder,Cat People (Putting Out Fire),"MCA Records, Backstreet Records","7"", Single",,1982,650176,David Bowie,2019-01-15 08:07:34,,,
MHRCD005,Duke Special,My Villain Heart,Medieval Haircut,"CD, EP",,2004,2224741,Uncategorized,2017-02-07 11:51:26,,,
MHRCD04,Duke Special,Lucky Me,Medieval Haircut,"CD, EP",,2002,897490,Uncategorized,2017-02-07 09:46:04,,,
ICCD42730,Booley (2),Bathroom Floor,"Medieval Haircut Records, ICC","CD, Album",,1999,6989224,Uncategorized,2017-02-07 13:11:58,,,
6007 171,Dee D. Jackson,Automatic Lover,Mercury,"7"", Single",,1978,1544445,Uncategorized,2019-12-31 18:01:09,,,
6007 192,Village People,Y.M.C.A.,Mercury,"7"", Single, Blu",,1978,3015001,Uncategorized,2020-01-03 23:29:43,,,
6008 550,The Boomtown Rats,I Don't Like Mondays,Mercury,"7"", Single",,1979,1934684,Uncategorized,2019-12-30 22:12:29,,,
6078 813,Steve Miller Band,Swingtown,Mercury,"7""",,1977,1470056,Uncategorized,2020-01-03 21:54:01,,,
DEXYS 6,Dexys Midnight Runners,Show Me,Mercury,"7"", Single, Inj",,1981,2627880,Uncategorized,2019-12-30 23:39:29,,,
