Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
TENR 307,Kicking Back With Taxman,Everything (Remix),10 Records,"12""",,1990,118693,Uncategorized,2019-09-17 21:01:10,,,
TENR 373,Sub Sub,Space Face (Todd Terry Remix),10 Records,"12""",,1991,351175,Uncategorized,2017-02-28 19:28:03,,,
TENX 303,Reel By Real,Aftermath (Remix),10 Records,"12""",,1990,81987,Uncategorized,2017-02-15 22:53:52,,,
"TENX384, TENX 384",Blow,Cutter,"10 Records, 10 Records","12""",,1991,160265,Uncategorized,2019-09-15 21:54:06,,,
"TENX384, TENX 384",Blow,Cutter,"10 Records, 10 Records","12""",,1991,160265,Uncategorized,2019-09-15 21:54:13,,,
"TENX 391, 614 948, TENX391",Joey Negro,Do What You Feel,"10 Records, 10 Records, 10 Records","12""",,1991,70370,Uncategorized,2019-09-23 16:20:50,,,
AMRO4,A Mountain Of One,Ride,10 Worlds,"12""",,2008,1457179,Uncategorized,2019-09-15 21:47:20,,,
BAD 312,Bauhaus,4AD,4AD,"12"", EP, Comp, Whi",,1983,3560455,Uncategorized,2019-09-09 21:59:37,,,
12 BRW 113,Paul Rutherford,Get Real,4th & Broadway,"12"", Single",,1988,89412,Uncategorized,2017-02-10 18:49:20,,,
"12 BRW 210, 878879-1",Brothers In Rhythm,Such A Good Feeling,"4th & Broadway, 4th & Broadway","12""",,1991,110465,Uncategorized,2019-09-15 22:03:04,,,
"BRCD 162, 876 689-2",Mondeé Oliver,Stay Close,"4th & Broadway, 4th & Broadway","CD, Single",,1989,426480,Uncategorized,2017-02-07 11:54:54,,,
"12 BRW 232, 868 987-1, 12 brw 232",Drizabone,Catch The Fire,"4th & Broadway, 4th & Broadway, 4th & Broadway","12"", Single",,1991,210976,Uncategorized,2019-09-16 21:51:40,,,
"12 BRW 171, 875 443-1",Young MC,I Come Off,"4th & Broadway, Delicious Vinyl","12""",,1990,111745,Uncategorized,2017-02-28 19:12:45,,,
"12 BRW 196, 878 223-1",Robert Owens,Happy / Far Away,"4th & Broadway, Island Records","12""",,1990,143936,Uncategorized,2019-09-23 16:48:26,,,
"12 BRW 223, 868 561-1",Drizabone,Real Love,"4th & Broadway, Island Records","12""",,1991,206904,Uncategorized,2019-09-16 21:50:50,,,
AMY 701,Steve Harvey,I'm The One,A&M PM,"12""",,1990,1576925,Uncategorized,2019-09-22 21:54:10,,,
AM-1973,The Stranglers,The Stranglers,A&M Records,"7"", EP, Pin",,1977,407206,Uncategorized,2020-01-03 22:07:22,,,
AMLH 64743,Joe Jackson,Look Sharp!,A&M Records,"LP, Album",,1979,3611210,Uncategorized,2019-01-18 18:17:49,,,
AMS 7423,The Tubes,Prime Time,A&M Records,"7"", Single, Whi",,1979,1680157,Uncategorized,2020-01-03 22:31:33,,,
AMY 750,Herb Alpert,Jump Street,A&M Records,"12""",,1991,771695,Uncategorized,2019-09-15 21:40:29,,,
AMYDJ 822,Ce Ce Peniston,Finally,A&M Records,"12"", Promo",,1991,1544098,Uncategorized,2017-02-12 14:46:59,,,
"AMY 762, 390762-1",Rodeo Jones,Get Wise!,"A&M Records, A&M Records","12""",,1991,340734,Uncategorized,2019-09-17 20:57:14,,,
DAM 1,The Damned,Another Great Record From The Damned: The Best Of The Damned,Ace,"LP, Comp",,1981,9175138,Uncategorized,2019-01-17 21:42:38,,,
"1A 184-05307, 1A 138-05307, 1A 138-05308",The Beatles,1962-1966,"Apple Records, Apple Records, Apple Records","2xLP, Comp, RE, Gat",,0,1800102,Uncategorized,2017-02-02 19:27:44,,,
614 209,Alison Limerick,Where Love Lives (Come On In) (The Remixes),Arista,"12""",,1991,55719,Uncategorized,2017-02-15 23:12:53,,,
614 264,Shawn Christopher,Another Sleepless Night (The David Morales Remixes),Arista,"12"", Maxi",,1991,415764,Uncategorized,2019-09-16 21:16:36,,,
614 420,Aretha Franklin,Everyday People,Arista,"12""",,1991,2082323,Uncategorized,2019-09-09 22:41:38,,,
614 526,Cola Boy,7 Ways To Love,Arista,"12""",,1991,32676,Uncategorized,2019-09-16 21:27:32,,,
74321 16226 1,David Bowie,Miracle Goodnight,Arista,"12""",,1993,1054792,David Bowie,2017-02-28 18:38:14,,,
74321 16226 2,David Bowie,Miracle Goodnight,Arista,"CD, Single",,1993,3832165,Uncategorized,2017-05-30 12:16:34,,,
ARIST 174,Showaddywaddy,I Wonder Why,Arista,"7"", Single",,1978,14061183,Uncategorized,2020-01-03 19:05:05,,,
74321 181682,David Bowie Featuring Lenny Kravitz,The Buddha Of Suburbia,"Arista, BMG","CD, Single, Col",,1993,1762664,Uncategorized,2017-05-30 12:19:39,,,
"74321 177052, 74321-17705-2",David Bowie Featuring Lenny Kravitz,The Buddha Of Suburbia,"Arista, BMG Bertelsmann Music Group, Arista","CD, Single",,1993,1575432,Uncategorized,2017-05-30 12:18:27,,,
74321 148681,David Bowie,Black Tie White Noise,"Arista, BMG International, Savage Records","12"", Maxi",,1993,1015298,David Bowie,2017-02-28 18:40:55,,,
"74321 139432, 74321139432",David Bowie,Jump They Say,"Arista, BMG International, Savage Records, Arista, BMG International, Savage Records","CD, Single, CD2",,1993,216959,Uncategorized,2017-05-30 12:11:08,,,
74321 148682,David Bowie Featuring Al B. Sure!,Black Tie White Noise,"Arista, BMG, Savage Records","CD, Maxi",,1993,9189728,Uncategorized,2017-05-30 12:12:43,,,
"74321 139422, 74321139422",David Bowie,Jump They Say,"Arista, Savage Records, BMG International","CD, Single, CD1",,1993,631815,Uncategorized,2017-05-30 12:25:21,,,
"ARIST 504, TEE 4",Thompson Twins,Love On Your Side,"Arista, T Records (2)","2x7"", Single",,1983,2679701,Uncategorized,2020-01-03 22:26:12,,,
SU-1027,David Bowie,David Bowie,Armando Curcio Editore,"LP, Comp, Gat",,1982,2857252,David Bowie,2017-02-28 17:28:31,,,
ASH 12-1 ,303 Force,House U Tonight,Ash (2),"12"", W/Lbl",,1990,4996140,Uncategorized,2017-02-28 19:41:25,,,
K 10263,Archie Bell & The Drells,(There's Gonna Be) A Showdown / Tighten Up,Atlantic,"7"", Single, RE",,1973,830591,Uncategorized,2019-12-30 21:11:23,,,
K 11214,Amii Stewart,Knock On Wood,Atlantic,"7"", Single, Lar",,1978,9798825,Uncategorized,2020-01-03 21:57:55,,,
"A7904T, 7567-86173-0",Adrian Belew Featuring David Bowie,Pretty Pink Rose,"Atlantic, Atlantic","12""",,1990,1370185,David Bowie,2017-02-28 18:35:51,,,
WNRT 768,Papillon (2),Different World (Everybody) / The Bully,Atomic Records (9),"12""",,1991,512534,Uncategorized,2019-09-23 16:46:49,,,
BAMN-002,Bamn,Bamn EP,Bamn,"12"", EP, W/Lbl, Sta",,1990,931638,Uncategorized,2019-09-16 21:43:10,,,
BASS 2T,Juno,Soul Thunder,Bassic,"12""",,1990,30149,Uncategorized,2019-09-17 20:58:10,,,
BASS 3T,Ital Rockers,Ital's Anthem,Bassic,"12""",,1990,24625,Uncategorized,2019-09-17 20:41:24,,,
0190295568764,David Bowie,Glastonbury 2000,"BBC, Parlophone, Glastonbury Festival Of Contemporary Performing Arts","Box + 2xCD + DVD-V, NTSC",,2018,12841898,Uncategorized,2019-01-12 20:42:55,,,
"BCM 333 LP, BCM 33333",Various,Sueño! The Essential Mediterranean Dancetrax,"BCM Records, BCM Records","LP, Comp",,1989,654413,Uncategorized,2019-01-21 23:10:11,,,
"BCM 344 X, BCM 12344",The Mixmaster,Grand Piano,"BCM Records, BCM Records","12"", Maxi",,1989,39467,Uncategorized,2019-09-23 16:32:13,,,
BEG 100E,Bauhaus,The Singles 1981-1983,Beggars Banquet,"12"", Comp",,1983,379699,Uncategorized,2019-09-09 22:00:49,,,
BEG 17,Tubeway Army,Down In The Park,Beggars Banquet,"7"", Single, Str",,1979,5490200,Uncategorized,2020-01-03 22:33:46,,,
BEG 18,Tubeway Army,Are 'Friends' Electric?,Beggars Banquet,"7"", Single, Wit",,1979,64661,Uncategorized,2020-01-03 22:37:50,,,
BEG 18p,Tubeway Army,Are 'Friends' Electric?,Beggars Banquet,"7"", Single, Ltd, Pic",,1979,514002,Uncategorized,2020-01-03 22:40:33,,,
BEG 50,Gary Numan,This Wreckage,Beggars Banquet,"7"", Single",,1980,498824,Uncategorized,2020-01-01 11:29:22,,,
BEG 88,Bauhaus,Lagartija Nick,Beggars Banquet,"7""",,1983,5360655,Uncategorized,2019-12-30 21:25:01,,,
BEGA 40,Gary Numan,"I, Assassin",Beggars Banquet,"LP, Album",,1982,8585618,Uncategorized,2019-01-18 19:08:52,,,
BEGA 64,Bauhaus,1979-1983,Beggars Banquet,"2xLP, Comp, Gat",,1985,5015520,Uncategorized,2017-02-02 19:03:55,,,
"BEG 29, K. 18119",Gary Numan,Complex,"Beggars Banquet, Beggars Banquet","7"", Single, Red",,1979,8730297,Uncategorized,2020-01-01 11:23:59,,,
"BEG 35, K 18261",Gary Numan,We Are Glass,"Beggars Banquet, Beggars Banquet","7"", Single",,1980,126870,Uncategorized,2020-01-01 11:26:40,,,
"BEG 46, K 18322",Gary Numan,I Die: You Die,"Beggars Banquet, Beggars Banquet","7"", Single",,1980,48467,Uncategorized,2020-01-01 11:28:08,,,
"BEG 62, BEG.62",Gary Numan,She's Got Claws,"Beggars Banquet, Beggars Banquet","7"", Single, Lar",,1981,11804562,Uncategorized,2020-01-01 11:31:29,,,
"BEGA 10, K 50646",Gary Numan,The Pleasure Principle,"Beggars Banquet, Beggars Banquet","LP, Album",,1979,4249016,Uncategorized,2019-01-18 19:06:54,,,
"BEGA 42, BEGA 38",Bauhaus,The Sky's Gone Out,"Beggars Banquet, Beggars Banquet","LP, Album + LP, Album",,1982,1443368,Uncategorized,2017-02-01 23:33:41,,,
"BEG 29 T, BEG 29(T), K .28076",Gary Numan,Complex,"Beggars Banquet, Beggars Banquet, Beggars Banquet","12"", Single",,1979,635221,Uncategorized,2019-09-09 23:02:56,,,
BLR 38T,A Man Called Adam,I Want To Know,Big Life,"12""",,1991,50801,Uncategorized,2019-09-15 21:37:34,,,
"NEG 19 TW, NEG 19T",The Jesus And Mary Chain,Some Candy Talking E.P.,"Blanco Y Negro, Blanco Y Negro","12"", EP, Ltd",,1986,2249822,Uncategorized,2019-09-09 22:44:09,,,
7716496,Gregory Porter,One Night Only (Live At The Royal Albert Hall),"Blue Note, Eagle Rock Films","CD, Album + DVD, Album",,2018,12988484,Uncategorized,2019-01-12 20:48:27,,,
74321-16622-3 BM520,David Bowie,Black Tie White Noise,BMG Video,"VHS, PAL",,1993,6698111,Uncategorized,2017-02-27 22:25:29,,,
74321-16622-6,David Bowie,Black Tie White Noise,BMG Video,"Laserdisc, 12"", NTSC",,1993,7802890,David Bowie,2019-01-15 14:50:08,,,
"TIBET 12, 74321 51254 1",Tao Jones Index,Pallas Athena / V2 Schneider,"BMG, BMG","12""",,1997,260666,David Bowie,2017-02-28 17:50:49,,,
"TIBET 12, 74321 51254 1",Tao Jones Index,Pallas Athena / V2 Schneider,"BMG, BMG","12""",,1997,260666,David Bowie,2017-02-28 17:50:51,,,
74321329402,David Bowie,Strangers When We Meet / The Man Who Sold The World (Live),"BMG, RCA","CD, Single",,1995,2722925,Uncategorized,2017-05-30 12:20:45,,,
74321452071,David Bowie,Little Wonder,"BMG, RCA","12"", Single",,1997,362585,David Bowie,2017-02-28 18:48:35,,,
PUMP T1,The Upholstered Eldorados,I Wanna Talk Like Iggy Pop,Box 52,"12""",,1990,697787,Uncategorized,2017-02-28 19:22:03,,,
"BOIX 3, 869219.1",The Paradiso,Here We Go Again,"Boy's Own Productions, Boy's Own Productions","12""",,1990,163225,Uncategorized,2019-09-23 16:46:20,,,
"BOIX 5, 869379-1",Bocca Juniors,Substance / Substantially Soulful,"Boy's Own Productions, Boy's Own Productions","12""",,1991,104069,Uncategorized,2019-09-15 21:56:33,,,
"BOIX 6, 869 475-1",DSK,What Would We Do,"Boy's Own Productions, Boy's Own Productions","12""",,1991,1368212,Uncategorized,2019-09-16 21:52:21,,,
"BOIX 8, 869 595-1",Extortion Featuring Dihan Brooks,How Do You See Me Now? (Joey Negro's Remix),"Boy's Own Productions, Boy's Own Productions","12""",,1991,75098,Uncategorized,2019-09-16 22:04:59,,,
"BOIX-9, 869661-1",One Dove,Fallen,"Boy's Own Productions, Boy's Own Productions","12""",,1992,65685,Uncategorized,2017-02-08 23:46:15,,,
"BOIXR 5, 869381-1",Bocca Juniors,Substance (Remix),"Boy's Own Productions, Boy's Own Productions","12""",,1991,104078,Uncategorized,2019-09-15 21:56:48,,,
BRAINK 6,Bluejeans Regime Featuring Koree F. Mordaunt,Untrue Affection,Brainiak Records,"12""",,1990,81899,Uncategorized,2019-09-15 21:55:02,,,
BROO 1,If?,Saturdays Angels,Brainiak Records,"12""",,1990,147456,Uncategorized,2019-09-22 21:42:30,,,
"BRAIN K 05, BRANK 5",Deep Joy,Fall,"Brainiak Records, Brainiak Records","12"", Promo",,1990,2095967,Uncategorized,2019-09-16 21:44:45,,,
BRAND 8,PM Factor,Substitute,Branded Records,"12"", Single",,1998,714633,Uncategorized,2019-09-23 18:17:40,,,
BRH 0085-2,Gungor,A Creation Liturgy (Live),Brash Music,"CD, Album, Dig",,2012,5518300,Uncategorized,2017-02-07 09:32:29,,,
BRH00562,Gungor,Beautiful Things,Brash Music,"CD, Album",,2010,3278850,Uncategorized,2017-02-07 09:36:39,,,
1000452,The Michael Gungor Band,Ancient Skies,"Brash Music, Authentic Media","CD, Album",,2008,9744064,Uncategorized,2017-02-07 13:22:42,,,
BFD022R,Linus Loves,Night Music,Breastfed,"12""",,2006,732597,Uncategorized,2019-09-17 21:13:49,,,
BHCD2011,Brian Houston,Sugar Queen,Brian Houston Songs,"CD, Album",,2006,5767337,Uncategorized,2017-02-07 13:28:17,,,
BHCD2016,Brian Houston,Days Of Pearly Spencer,Brian Houston Songs,"CD, Single, Enh",,2007,3834403,Uncategorized,2017-02-07 11:43:54,,,
CID17,David Bowie,The Interview,C.I.D. Productions,"Box, Ltd, Unofficial + CD, Ltd, Unofficial",,1987,6988765,Uncategorized,2017-02-10 18:38:03,,,
12CL 614,Joey B. Ellis,Thought You Were The One For Me,Capitol Records,"12"", Maxi",,1991,1177157,Uncategorized,2019-09-16 22:04:16,,,
12CLDJ 616,MC Hammer,Yo!! Sweetness,Capitol Records,"12"", Promo",,1991,5076459,Uncategorized,2019-09-17 21:41:18,,,
CL 16013,Dr. Hook,I Don't Want To Be Alone Tonight,Capitol Records,"7"", Single",,1978,4673528,Uncategorized,2019-12-31 13:34:10,,,
"12CL 623, 20 4440 6",Young MC,That's The Way Love Goes,"Capitol Records, Capitol Records","12""",,1991,1226718,Uncategorized,2017-02-28 19:13:48,,,
"CDCL 659, 8800412",Tina Turner,I Want You Near Me,"Capitol Records, Capitol Records","CD, Single, CD1",,1991,5993679,Uncategorized,2017-05-30 12:35:11,,,
CNYT 7,Helen Bruner,Gimme Real Love,Cardiac Records,"12""",,1991,70962,Uncategorized,2019-09-15 22:06:03,,,
CNYT4DJ,The Program,Desire,Cardiac Records,"12"", W/Lbl",,1991,535788,Uncategorized,2017-02-10 18:44:31,,,
656207 6,Plutonic,Tubular Bells,CBS,"12""",,1990,47222,Uncategorized,2017-01-31 07:52:16,,,
CBS 32232,The Clash,The Clash,CBS,"LP, Album, RE",,0,8464677,Uncategorized,2017-02-02 19:30:52,,,
CBS 5664 ,The Clash,Complete Control ,CBS,"7"", Single",,1977,9091398,Uncategorized,2019-12-30 22:38:14,,,
CBS 7951,U2,Three,CBS,"7"", Single, RE",,1984,1938687,Uncategorized,2020-01-03 23:09:51,,,
CBS 8306,U2,Another Day,CBS,"7"", Single, RE, Sun",,1980,952259,Uncategorized,2020-01-03 23:16:03,,,
CBS A1408,Adam And The Ants,Prince Charming,CBS,"7"", Single, Gat",,1981,8432038,Uncategorized,2019-12-30 10:27:09,,,
CBS S 8351,Johnny Nash,There Are More Questions Than Answers,CBS,"7"", Single",,1972,1263497,Uncategorized,2019-12-31 21:32:12,,,
S 4790,Simon & Garfunkel,Bridge Over Troubled Water,CBS,"7"", Single, Sol",,1970,2692884,Uncategorized,2020-01-03 19:08:43,,,
S CBS 5514,Bruce Johnston,Pipeline,CBS,"7"", Single",,1977,4529796,Uncategorized,2019-12-31 18:59:54,,,
S CBS 6788,The Clash,Tommy Gun,CBS,"7"", Single, Com",,1978,6920111,Uncategorized,2019-12-30 22:45:41,,,
S CBS 84658,U2,Boy,CBS,"LP, Album",,1980,2052220,Uncategorized,2019-01-21 22:51:44,,,
S CBS 8687,U2,11 O'Clock Tick Tock,CBS,"7"", Single, RE, Sun",,1983,10290172,Uncategorized,2020-01-03 23:07:39,,,
SPANS 1,Spandau Ballet,Through The Barricades,CBS,"7"", Single",,1986,680259,Uncategorized,2020-01-03 21:19:52,,,
"A 4988, A4988",King,Love & Pride,"CBS, CBS","7"", Single",,1984,876681,Uncategorized,2019-12-31 19:23:51,,,
"CBS 25521, 25521",Paul Young,No Parlez,"CBS, CBS","LP, Album",,1983,10366646,Uncategorized,2019-01-21 23:05:09,,,
"CBS 7082, S CBS 7082",The Clash,English Civil War (Johnny Comes Marching Home),"CBS, CBS","7"", Single",,1979,11444622,Uncategorized,2019-12-30 22:51:57,,,
"CBSA 3636, A 3636",Paul Young,Come Back And Stay (Single Remix Version),"CBS, CBS","7"", Single",,1983,386218,Uncategorized,2020-01-04 00:07:31,,,
"S CBS 6383, 6383",The Clash,(White Man) In Hammersmith Palais,"CBS, CBS","7"", Single, Gre",,1978,4759080,Uncategorized,2019-12-30 22:39:23,,,
"S CBS 9039, CBS 9039",Adam And The Ants,Dog Eat Dog,"CBS, CBS","7"", Single, Pap",,1980,380526,Uncategorized,2019-09-10 16:36:12,,,
"S CBS 9065, 9065",U2,I Will Follow,"CBS, CBS","7"", Single, RE, Sun",,1982,3439172,Uncategorized,2020-01-03 23:18:14,,,
"S CBS 9352, 9352",Adam And The Ants,Antmusic,"CBS, CBS","7"", Single, Inj",,1980,380516,Uncategorized,2019-09-10 16:36:44,,,
"CBS 5293, CBS 5834, CBS 8087, CBS 2479",The Clash,Clash Pack,"CBS, CBS, CBS, CBS","4x7"", Single + Comp",,1983,887160,Uncategorized,2019-12-30 22:42:32,,,
106405,Soft Cell,Tainted Love,Celluloid,"7"", Single",,1981,2864829,Uncategorized,2020-01-03 20:47:41,,,
CHAMP 12 • 285,Susan Clark,Deeper,Champion,"12""",,1991,396147,Uncategorized,2019-09-16 21:23:50,,,
CHAMP 12-239,Earth People,Reach Up To Mars,Champion,"12""",,1990,90124,Uncategorized,2019-09-16 21:53:05,,,
CHAMP X 12-255,Lee Marrow,Movin' / Pain,Champion,"12""",,1990,752078,Uncategorized,2019-09-17 21:34:33,,,
CFV 00462,Visage,Visage,Channel 5,"VHS, PAL",,1986,996154,Uncategorized,2017-02-27 22:37:11,,,
CFV 00472,David Bowie,Serious Moonlight Vol. 1,Channel 5,VHS,,1986,6698139,Uncategorized,2017-02-27 22:37:58,,,
CFV 05062,David Bowie,Serious Moonlight Live - Volume 2,Channel 5,"VHS, PAL",,1986,9358124,Uncategorized,2017-02-27 22:18:47,,,
Chap 6/7,The Mission,I,Chapter 22,"7"", Single",,1986,512867,Uncategorized,2019-12-31 21:29:00,,,
CHAP 7,The Mission,II,Chapter 22,"7"", Single",,1986,440846,Uncategorized,2019-12-31 21:27:40,,,
CB.120,Rare Bird,Sympathy,Charisma,"7"", Single, Pus",,1970,1997384,Uncategorized,2020-01-02 23:27:42,,,
CB.191,Lindisfarne,All Fall Down,Charisma,"7"", Single",,1972,1790637,Uncategorized,2019-12-31 20:08:07,,,
CHERRY 16,Dead Kennedys,Kill The Poor,Cherry Red,"7"", Single",,1980,409297,Uncategorized,2019-12-30 23:21:57,,,
2889,Ronnie Milsap,Loving You Is A Natural Thing,Chips (2),"7"", Single",,1970,6392464,Uncategorized,2019-12-31 21:23:27,,,
103.106,The Specials,Concrete Jungle,Chrysalis,"7""",,1981,3228325,Uncategorized,2020-01-03 21:44:19,,,
12CHSDJ 5125,Starsailor,Goodsouls,Chrysalis,"12"", Promo",,2001,68337,Uncategorized,2017-02-01 23:04:56,,,
6155 263,Madness,The Prince,Chrysalis,"7""",,1979,1466074,Uncategorized,2019-12-31 20:16:32,,,
6155 271,The Specials,A Message To You Rudy / Nite Klub,Chrysalis,"7"", Single",,1979,1218900,Uncategorized,2020-01-03 21:24:49,,,
6198 357,The Specials,Rat Race,Chrysalis,"7"", Single",,1980,3737060,Uncategorized,2020-01-03 21:36:03,,,
6307 632,Blondie,Parallel Lines,Chrysalis,"LP, Album, RE",,0,259167,Uncategorized,2017-02-02 07:54:13,,,
6307 687,The Specials,Specials,Chrysalis,"LP, Album",,1979,470353,Uncategorized,2017-02-01 23:18:52,,,
CHM 1521,Generation X (4),The Best Of Generation X,Chrysalis,"LP, Comp",,1985,1006913,Uncategorized,2019-01-17 22:34:10,,,
CHR 1270,Stiff Little Fingers,Nobody's Heroes,Chrysalis,"LP, Album",,1980,1144355,Uncategorized,2019-01-21 22:28:08,,,
CHR 1300,Stiff Little Fingers,Hanx!,Chrysalis,"LP, Album",,1980,8521964,Uncategorized,2019-01-21 22:29:44,,,
CHR 1306,The Selecter,Celebrate The Bullet,Chrysalis,"LP, Album",,1981,380434,Uncategorized,2019-01-21 21:41:31,,,
CHS 2165,Generation X (4),Your Generation,Chrysalis,"7"", Single",,1977,544218,Uncategorized,2019-12-31 14:43:31,,,
CHS 2204,Blondie,Denis (Denee),Chrysalis,"7"", Single, Inj",,1978,5597922,Uncategorized,2019-12-30 22:04:28,,,
CHS 2261,Generation X (4),King Rocker,Chrysalis,"7"", Single, Inj",,1979,1424020,Uncategorized,2019-12-31 14:44:50,,,
CHS 2310,Generation X (4),Valley Of The Dolls,Chrysalis,"7"", Single, Bro",,1979,1647572,Uncategorized,2019-12-31 14:45:31,,,
CHS 2447,Stiff Little Fingers,Back To Front / Mr Fire Coal-Man,Chrysalis,"7"", Single",,1980,1600789,Uncategorized,2020-01-03 22:00:13,,,
CHS 2457,Ultravox,Passing Strangers,Chrysalis,"7"", Single",,1980,167987,Uncategorized,2020-01-03 22:50:21,,,
CHS 2563,Fun Boy Three,The Lunatics Have Taken Over The Asylum.,Chrysalis,"7"", Single",,1981,505483,Uncategorized,2019-12-31 14:41:00,,,
CHS 2609,Fun Boy Three,The Telephone Always Rings,Chrysalis,"7"", Single, Blu",,1982,570011,Uncategorized,2019-12-31 14:42:22,,,
CHS S1,The Selecter,The Whisper,Chrysalis,"7"", Single",,1980,1785583,Uncategorized,2020-01-03 00:12:42,,,
IDOL 5,Billy Idol,White Wedding,Chrysalis,"7"", Single",,1985,5748662,Uncategorized,2019-12-31 17:56:05,,,
IDOL 6,Billy Idol,Rebel Yell,Chrysalis,"7"", Single, Gat",,1985,1365193,Uncategorized,2019-12-31 17:59:20,,,
POPPYXW3,Poppy Factory,Stars,Chrysalis,"12"", Promo",,1991,1788652,Uncategorized,2017-01-31 08:03:37,,,
UTV1,Ultravox,The Collection,Chrysalis,"LP, Comp",,1984,97080,Uncategorized,2019-01-21 22:46:09,,,
WWS-17069,The Specials,"Hey, Little Rich Girl",Chrysalis,"7""",,1980,413532,Uncategorized,2020-01-03 21:46:32,,,
"SBTVD 1, SBTV 1",Spandau Ballet,The Singles Collection,"Chrysalis, Chrysalis","2xLP, Comp, Ltd",,1985,436268,Uncategorized,2019-01-21 22:21:28,,,
"CHRTV 20082, 50999 520398 2 9, 5099952039829",The Specials,The Best Of The Specials,"Chrysalis, EMI, EMI","CD, Comp, RM + DVD-V, PAL",,2008,2342537,Uncategorized,2017-02-07 13:56:16,,,
"6307 693, CDL 1274",The Selecter,Too Much Pressure,"Chrysalis, Two-Tone Records","LP, Album",,1980,757813,Uncategorized,2019-01-21 21:39:09,,,
YRT  56,The Associates,Just Can't Say Goodbye,Circa,"12""",,1991,650711,Uncategorized,2019-09-09 21:56:25,,,
CBE 1248,Dionne,Your Lies,City Beat,"12""",,1990,402771,Uncategorized,2019-09-16 21:46:13,,,
CBE 1249,Dream Frequency,Live The Dream,City Beat,"12""",,1990,126306,Uncategorized,2019-09-16 21:49:43,,,
PROCTX 1,Cool 2,Kinda Groovy (Original Version & Psychotropic Remix),"City Sounds, Rumour Records","12""",,1991,151582,Uncategorized,2019-09-16 21:29:14,,,
CSS0001,Colin Stitt,All Over The World,Colin Stitt Songs,"CD, MiniAlbum",,2009,6071498,Uncategorized,2017-02-07 11:52:05,,,
1-11248,The Boomtown Rats,Someone's Looking At You / I Don't Like Mondays (Recorded Live),Columbia,"7"", Single",,1980,8808966,Uncategorized,2019-12-30 22:13:52,,,
657286 8,Lisa Lisa & Cult Jam,Let The Beat Hit 'Em,Columbia,"12""",,1991,76918,Uncategorized,2017-02-15 20:30:24,,,
C2K 86270,Various,The Concert For New York City,Columbia,"2xCD, Album",,2001,3137645,Uncategorized,2017-02-07 09:39:46,,,
"88883756667, 88883 75666 7",David Bowie,Valentine's Day,"Columbia, Columbia","7"", Single, Pic",,2013,4828433,David Bowie,2019-01-15 07:51:03,,,
88883787812,David Bowie,The Next Day Extra,"Columbia, ISO Records, Sony Music","Box, Ltd + CD, Album + CD, Comp + DVD-V, Copy Prot",,2013,5071079,Uncategorized,2017-02-06 23:35:30,,,
12CON 40,Indien,Show Me Love,Concept Music,"12""",,2003,173489,Uncategorized,2019-09-22 21:41:08,,,
COOLX 201,Innocence,Natural Thing,Cooltempo,"12""",,1990,94599,Uncategorized,2017-02-12 14:37:58,,,
COOLXR 198,Tribal House Featuring Pierre Salandy & Karen Bernod,Motherland -A-FRI-CA-,Cooltempo,"12""",,1990,197461,Uncategorized,2017-02-28 19:31:33,,,
"COOLX 237, COOLX237",Circuit (4),Shelter Me (The Mixes),"Cooltempo, Cooltempo","12""",,1991,202222,Uncategorized,2019-09-16 21:17:50,,,
C R E 086TP,Love Corporation,Give Me Some Love (Andy Weatherall Mix),Creation Records,"12"", Promo",,1991,1142468,Uncategorized,2019-09-17 21:23:23,,,
CRE 080T,Sheer Taft Featuring Ingrid Kudos,Cascades,Creation Records,"12"", Promo, W/Lbl",,1990,11990569,Uncategorized,2019-09-23 18:28:28,,,
CRE 083T,J.B.C.,We Love You,Creation Records,"12"", W/Lbl",,1990,1789679,Uncategorized,2019-09-17 20:49:47,,,
CRE 084T,Pressure Zone,Johannesburg,Creation Records,"12"", W/Lbl",,1990,5093968,Uncategorized,2019-09-23 18:07:56,,,
CRE 086X,Love Corporation,Give Me Some Love,Creation Records,"12"", Single",,1991,245249,Uncategorized,2019-09-17 21:24:04,,,
CRE 096X,Primal Scream,Higher Than The Sun (Remix),Creation Records,"12"", Single",,1991,79850,Uncategorized,2017-02-07 23:10:29,,,
CRE 110T,Primal Scream Featuring Denise Johnson,"Don't Fight It, Feel It",Creation Records,"12"", Single",,1991,50112,Uncategorized,2017-02-10 18:41:55,,,
CRE 110X,Primal Scream Featuring Denise Johnson,"Don't Fight It, Feel It (Remixed By Graham Massey)",Creation Records,"12""",,1991,167580,Uncategorized,2017-02-10 18:43:14,,,
CRE 90T,Fluke,Philly,Creation Records,"12""",,1990,86226,Uncategorized,2019-09-22 22:26:21,,,
CRE078X,Primal Scream,Come Together,Creation Records,"12"", Promo, W/Lbl",,1990,2283620,Uncategorized,2017-02-10 18:29:30,,,
CRE082TX,Hypnotone,Dream Beam (Danny Rampling Remix),Creation Records,"12"", W/Lbl",,1990,2044695,Uncategorized,2019-09-22 21:44:23,,,
CRE095T,Crazy Eddie & Q.Q. Freestyle,Nena De Ibiza,Creation Records,"12"", W/Lbl, Sti",,1990,5847987,Uncategorized,2019-09-16 21:30:50,,,
